"","wave","day","amp","phase","cvel","amp_std"
"250",10,25,0,0,0,-1.77974583380594
"251",1,26,0,0,0,-2.68809392303535
"252",2,26,0,0,0,-2.4821014829268
"253",3,26,0,0,0,-2.14445958237565
"254",4,26,0,0,0,-1.82654595340093
"255",5,26,0,0,0,-2.06135153017791
"256",6,26,0,0,0,-1.93179393179326
"257",7,26,0,0,0,-1.9061539302471
"258",8,26,0,0,0,-1.7857555409165
"259",9,26,0,0,0,-1.65990377755394
"260",10,26,0,0,0,-1.77974583380594
"261",1,27,0,0,0,-2.68809392303535
"262",2,27,0,0,0,-2.4821014829268
"263",3,27,0,0,0,-2.14445958237565
"264",4,27,0,0,0,-1.82654595340093
"265",5,27,0,0,0,-2.06135153017791
"266",6,27,0,0,0,-1.93179393179326
"267",7,27,0,0,0,-1.9061539302471
"268",8,27,0,0,0,-1.7857555409165
"269",9,27,0,0,0,-1.65990377755394
"270",10,27,0,0,0,-1.77974583380594
"271",1,28,0,0,0,-2.68809392303535
"272",2,28,0,0,0,-2.4821014829268
"273",3,28,0,0,0,-2.14445958237565
"274",4,28,0,0,0,-1.82654595340093
"275",5,28,0,0,0,-2.06135153017791
"276",6,28,0,0,0,-1.93179393179326
"277",7,28,0,0,0,-1.9061539302471
"278",8,28,0,0,0,-1.7857555409165
"279",9,28,0,0,0,-1.65990377755394
"280",10,28,0,0,0,-1.77974583380594
"281",1,29,0,0,0,-2.68809392303535
"282",2,29,0,0,0,-2.4821014829268
"283",3,29,0,0,0,-2.14445958237565
"284",4,29,0,0,0,-1.82654595340093
"285",5,29,0,0,0,-2.06135153017791
"286",6,29,0,0,0,-1.93179393179326
"287",7,29,0,0,0,-1.9061539302471
"288",8,29,0,0,0,-1.7857555409165
"289",9,29,0,0,0,-1.65990377755394
"290",10,29,0,0,0,-1.77974583380594
"291",1,30,0,0,0,-2.68809392303535
"292",2,30,0,0,0,-2.4821014829268
"293",3,30,0,0,0,-2.14445958237565
"294",4,30,0,0,0,-1.82654595340093
"295",5,30,0,0,0,-2.06135153017791
"296",6,30,0,0,0,-1.93179393179326
"297",7,30,0,0,0,-1.9061539302471
"298",8,30,0,0,0,-1.7857555409165
"299",9,30,0,0,0,-1.65990377755394
"300",10,30,0,0,0,-1.77974583380594
"301",1,31,0,0,0,-2.68809392303535
"302",2,31,0,0,0,-2.4821014829268
"303",3,31,0,0,0,-2.14445958237565
"304",4,31,0,0,0,-1.82654595340093
"305",5,31,0,0,0,-2.06135153017791
"306",6,31,0,0,0,-1.93179393179326
"307",7,31,0,0,0,-1.9061539302471
"308",8,31,0,0,0,-1.7857555409165
"309",9,31,0,0,0,-1.65990377755394
"310",10,31,0,0,0,-1.77974583380594
"311",1,32,0,0,0,-2.3704036949801
"312",2,32,0,0,0,-2.38016156714025
"313",3,32,0,0,0,-2.1917119440958
"314",4,32,0,0,0,-2.07046202024931
"315",5,32,0,0,0,-1.89632872443652
"316",6,32,0,0,0,-1.98116254652041
"317",7,32,0,0,0,-1.73874079469789
"318",8,32,0,0,0,-1.84112729941183
"319",9,32,0,0,0,-1.76642195152509
"320",10,32,0,0,0,-1.74091380410684
"321",1,33,0,0,0,-2.3704036949801
"322",2,33,0,0,0,-2.38016156714025
"323",3,33,0,0,0,-2.1917119440958
"324",4,33,0,0,0,-2.07046202024931
"325",5,33,0,0,0,-1.89632872443652
"326",6,33,0,0,0,-1.98116254652041
"327",7,33,0,0,0,-1.73874079469789
"328",8,33,0,0,0,-1.84112729941183
"329",9,33,0,0,0,-1.76642195152509
"330",10,33,0,0,0,-1.74091380410684
"331",1,34,0,0,0,-2.3704036949801
"332",2,34,0,0,0,-2.38016156714025
"333",3,34,0,0,0,-2.1917119440958
"334",4,34,0,0,0,-2.07046202024931
"335",5,34,0,0,0,-1.89632872443652
"336",6,34,0,0,0,-1.98116254652041
"337",7,34,0,0,0,-1.73874079469789
"338",8,34,0,0,0,-1.84112729941183
"339",9,34,0,0,0,-1.76642195152509
"340",10,34,0,0,0,-1.74091380410684
"341",1,35,0,0,0,-2.3704036949801
"342",2,35,0,0,0,-2.38016156714025
"343",3,35,0,0,0,-2.1917119440958
"344",4,35,0,0,0,-2.07046202024931
"345",5,35,0,0,0,-1.89632872443652
"346",6,35,0,0,0,-1.98116254652041
"347",7,35,0,0,0,-1.73874079469789
"348",8,35,0,0,0,-1.84112729941183
"349",9,35,0,0,0,-1.76642195152509
"350",10,35,0,0,0,-1.74091380410684
"351",1,36,0,0,0,-2.3704036949801
"352",2,36,0,0,0,-2.38016156714025
"353",3,36,0,0,0,-2.1917119440958
"354",4,36,0,0,0,-2.07046202024931
"355",5,36,0,0,0,-1.89632872443652
"356",6,36,0,0,0,-1.98116254652041
"357",7,36,0,0,0,-1.73874079469789
"358",8,36,0,0,0,-1.84112729941183
"359",9,36,0,0,0,-1.76642195152509
"360",10,36,0,0,0,-1.74091380410684
"361",1,37,0,0,0,-2.3704036949801
"362",2,37,0,0,0,-2.38016156714025
"363",3,37,0,0,0,-2.1917119440958
"364",4,37,0,0,0,-2.07046202024931
"365",5,37,0,0,0,-1.89632872443652
"366",6,37,0,0,0,-1.98116254652041
"367",7,37,0,0,0,-1.73874079469789
"368",8,37,0,0,0,-1.84112729941183
"369",9,37,0,0,0,-1.76642195152509
"370",10,37,0,0,0,-1.74091380410684
"371",1,38,0,0,0,-2.3704036949801
"372",2,38,0,0,0,-2.38016156714025
"373",3,38,0,0,0,-2.1917119440958
"374",4,38,0,0,0,-2.07046202024931
"375",5,38,0,0,0,-1.89632872443652
"376",6,38,0,0,0,-1.98116254652041
"377",7,38,0,0,0,-1.73874079469789
"378",8,38,0,0,0,-1.84112729941183
"379",9,38,0,0,0,-1.76642195152509
"380",10,38,0,0,0,-1.74091380410684
"381",1,39,0,0,0,-2.3704036949801
"382",2,39,0,0,0,-2.38016156714025
"383",3,39,0,0,0,-2.1917119440958
"384",4,39,0,0,0,-2.07046202024931
"385",5,39,0,0,0,-1.89632872443652
"386",6,39,0,0,0,-1.98116254652041
"387",7,39,0,0,0,-1.73874079469789
"388",8,39,0,0,0,-1.84112729941183
"389",9,39,0,0,0,-1.76642195152509
"390",10,39,0,0,0,-1.74091380410684
"391",1,40,0,0,0,-2.3704036949801
"392",2,40,0,0,0,-2.38016156714025
"393",3,40,0,0,0,-2.1917119440958
"394",4,40,0,0,0,-2.07046202024931
"395",5,40,0,0,0,-1.89632872443652
"396",6,40,0,0,0,-1.98116254652041
"397",7,40,0,0,0,-1.73874079469789
"398",8,40,0,0,0,-1.84112729941183
"399",9,40,0,0,0,-1.76642195152509
"400",10,40,0,0,0,-1.74091380410684
"401",1,41,0,0,0,-2.3704036949801
"402",2,41,0,0,0,-2.38016156714025
"403",3,41,0,0,0,-2.1917119440958
"404",4,41,0,0,0,-2.07046202024931
"405",5,41,0,0,0,-1.89632872443652
"406",6,41,0,0,0,-1.98116254652041
"407",7,41,0,0,0,-1.73874079469789
"408",8,41,0,0,0,-1.84112729941183
"409",9,41,0,0,0,-1.76642195152509
"410",10,41,0,0,0,-1.74091380410684
"411",1,42,0,0,0,-2.3704036949801
"412",2,42,0,0,0,-2.38016156714025
"413",3,42,0,0,0,-2.1917119440958
"414",4,42,0,0,0,-2.07046202024931
"415",5,42,0,0,0,-1.89632872443652
"416",6,42,0,0,0,-1.98116254652041
"417",7,42,0,0,0,-1.73874079469789
"418",8,42,0,0,0,-1.84112729941183
"419",9,42,0,0,0,-1.76642195152509
"420",10,42,0,0,0,-1.74091380410684
"421",1,43,0,0,0,-2.3704036949801
"422",2,43,0,0,0,-2.38016156714025
"423",3,43,0,0,0,-2.1917119440958
"424",4,43,0,0,0,-2.07046202024931
"425",5,43,0,0,0,-1.89632872443652
"426",6,43,0,0,0,-1.98116254652041
"427",7,43,0,0,0,-1.73874079469789
"428",8,43,0,0,0,-1.84112729941183
"429",9,43,0,0,0,-1.76642195152509
"430",10,43,0,0,0,-1.74091380410684
"431",1,44,0,0,0,-2.3704036949801
"432",2,44,0,0,0,-2.38016156714025
"433",3,44,0,0,0,-2.1917119440958
"434",4,44,0,0,0,-2.07046202024931
"435",5,44,0,0,0,-1.89632872443652
"436",6,44,0,0,0,-1.98116254652041
"437",7,44,0,0,0,-1.73874079469789
"438",8,44,0,0,0,-1.84112729941183
"439",9,44,0,0,0,-1.76642195152509
"440",10,44,0,0,0,-1.74091380410684
"441",1,45,0,0,0,-2.3704036949801
"442",2,45,0,0,0,-2.38016156714025
"443",3,45,0,0,0,-2.1917119440958
"444",4,45,0,0,0,-2.07046202024931
"445",5,45,0,0,0,-1.89632872443652
"446",6,45,0,0,0,-1.98116254652041
"447",7,45,0,0,0,-1.73874079469789
"448",8,45,0,0,0,-1.84112729941183
"449",9,45,0,0,0,-1.76642195152509
"450",10,45,0,0,0,-1.74091380410684
"451",1,46,0,0,0,-2.3704036949801
"452",2,46,0,0,0,-2.38016156714025
"453",3,46,0,0,0,-2.1917119440958
"454",4,46,0,0,0,-2.07046202024931
"455",5,46,0,0,0,-1.89632872443652
"456",6,46,0,0,0,-1.98116254652041
"457",7,46,0,0,0,-1.73874079469789
"458",8,46,0,0,0,-1.84112729941183
"459",9,46,0,0,0,-1.76642195152509
"460",10,46,0,0,0,-1.74091380410684
"461",1,47,0,0,0,-2.3704036949801
"462",2,47,0,0,0,-2.38016156714025
"463",3,47,0,0,0,-2.1917119440958
"464",4,47,0,0,0,-2.07046202024931
"465",5,47,0,0,0,-1.89632872443652
"466",6,47,0,0,0,-1.98116254652041
"467",7,47,0,0,0,-1.73874079469789
"468",8,47,0,0,0,-1.84112729941183
"469",9,47,0,0,0,-1.76642195152509
"470",10,47,0,0,0,-1.74091380410684
"471",1,48,0,0,0,-2.3704036949801
"472",2,48,0,0,0,-2.38016156714025
"473",3,48,0,0,0,-2.1917119440958
"474",4,48,0,0,0,-2.07046202024931
"475",5,48,0,0,0,-1.89632872443652
"476",6,48,0,0,0,-1.98116254652041
"477",7,48,0,0,0,-1.73874079469789
"478",8,48,0,0,0,-1.84112729941183
"479",9,48,0,0,0,-1.76642195152509
"480",10,48,0,0,0,-1.74091380410684
"481",1,49,0,0,0,-2.3704036949801
"482",2,49,0,0,0,-2.38016156714025
"483",3,49,0,0,0,-2.1917119440958
"484",4,49,0,0,0,-2.07046202024931
"485",5,49,0,0,0,-1.89632872443652
"486",6,49,0,0,0,-1.98116254652041
"487",7,49,0,0,0,-1.73874079469789
"488",8,49,0,0,0,-1.84112729941183
"489",9,49,0,0,0,-1.76642195152509
"490",10,49,0,0,0,-1.74091380410684
"491",1,50,0,0,0,-2.3704036949801
"492",2,50,0,0,0,-2.38016156714025
"493",3,50,0,0,0,-2.1917119440958
"494",4,50,0,0,0,-2.07046202024931
"495",5,50,0,0,0,-1.89632872443652
"496",6,50,0,0,0,-1.98116254652041
"497",7,50,0,0,0,-1.73874079469789
"498",8,50,0,0,0,-1.84112729941183
"499",9,50,0,0,0,-1.76642195152509
"500",10,50,0,0,0,-1.74091380410684
"501",1,51,0,0,0,-2.3704036949801
"502",2,51,0,0,0,-2.38016156714025
"503",3,51,0,0,0,-2.1917119440958
"504",4,51,0,0,0,-2.07046202024931
"505",5,51,0,0,0,-1.89632872443652
"506",6,51,0,0,0,-1.98116254652041
"507",7,51,0,0,0,-1.73874079469789
"508",8,51,0,0,0,-1.84112729941183
"509",9,51,0,0,0,-1.76642195152509
"510",10,51,0,0,0,-1.74091380410684
"511",1,52,0,0,0,-2.3704036949801
"512",2,52,0,0,0,-2.38016156714025
"513",3,52,0,0,0,-2.1917119440958
"514",4,52,0,0,0,-2.07046202024931
"515",5,52,0,0,0,-1.89632872443652
"516",6,52,0,0,0,-1.98116254652041
"517",7,52,0,0,0,-1.73874079469789
"518",8,52,0,0,0,-1.84112729941183
"519",9,52,0,0,0,-1.76642195152509
"520",10,52,0,0,0,-1.74091380410684
"521",1,53,0,0,0,-2.3704036949801
"522",2,53,0,0,0,-2.38016156714025
"523",3,53,0,0,0,-2.1917119440958
"524",4,53,0,0,0,-2.07046202024931
"525",5,53,0,0,0,-1.89632872443652
"526",6,53,0,0,0,-1.98116254652041
"527",7,53,0,0,0,-1.73874079469789
"528",8,53,0,0,0,-1.84112729941183
"529",9,53,0,0,0,-1.76642195152509
"530",10,53,0,0,0,-1.74091380410684
"531",1,54,0,0,0,-2.3704036949801
"532",2,54,0,0,0,-2.38016156714025
"533",3,54,0,0,0,-2.1917119440958
"534",4,54,0,0,0,-2.07046202024931
